x,value
-4.0,-0.6559537576420563
-3.95,-0.6510640129935849
-3.9,-0.6392002676451101
-3.85,-0.6207951113048971
-3.8,-0.5963643781894515
-3.75,-0.5664916113724435
-3.7,-0.5318111359001692
-3.65,-0.4929889558366495
-3.6,-0.4507048586099972
-3.55,-0.4056319462914308
-3.5,-0.35841728573364684
-3.45,-0.3096626882145278
-3.4,-0.2599061128056038
-3.35,-0.20960484245422284
-3.3,-0.15911865045375465
-3.25,-0.1086961476446124
-3.2,-0.058462199572030825
-3.15,-0.008407523140784426
-3.1,0.041619657549280466
-3.05,0.09192010626169902
-3.0,0.14294729069339535
-2.95,0.19531136224308646
-2.9,0.24977991916914413
-2.8499999999999996,0.30727913779232796
-2.8,0.3688947370294022
-2.75,0.43587394056946305
-2.7,0.5096299143054924
-2.65,0.5917498176918652
-2.5999999999999996,0.684009453207268
-2.55,0.7883969098984818
-2.5,0.9071496019550318
-2.45,1.0428101579875002
-2.4,1.1983116951245998
-2.3499999999999996,1.3770996178037525
-2.3,1.5833166456812693
-2.25,1.822075446100122
-2.2,2.0998705298212608
-2.15,2.4252119062556403
-2.0999999999999996,2.80962593540118
-2.05,3.269289262283452
-2.0,3.8278117426820644
-1.9499999999999997,4.521223592126532
-1.9,5.407511478037942
-1.85,6.586387391606295
-1.7999999999999998,8.244955470746515
-1.75,10.779775203820948
-1.6999999999999997,15.202348468564045
-1.65,25.080409767562386
-1.5999999999999996,68.42131353789031
-1.5499999999999998,-96.12575870665297
-1.5,-28.097129809822544
-1.4499999999999997,-16.297400664848112
-1.4,-11.346349301838599
-1.3499999999999996,-8.593786545211154
-1.2999999999999998,-6.824581292122847
-1.25,-5.58163517265165
-1.1999999999999997,-4.654718702962477
-1.15,-3.9337389043613125
-1.0999999999999996,-3.3554990129783553
-1.0499999999999998,-2.881123601459848
-1.0,-2.4853474490170018
-0.9499999999999997,-2.1509810931635407
-0.8999999999999999,-1.865852994714178
-0.8499999999999996,-1.6210303377228015
-0.7999999999999998,-1.4097308127415424
-0.75,-1.2266430339543044
-0.6999999999999997,-1.067483354733917
-0.6499999999999999,-0.9287035999931339
-0.5999999999999996,-0.8072950777351042
-0.5499999999999998,-0.7006561254252669
-0.5,-0.6065028212357194
-0.44999999999999973,-0.5228073907416095
-0.3999999999999999,-0.4477608893961106
-0.34999999999999964,-0.3797455645301915
-0.2999999999999998,-0.3173197008243369
-0.25,-0.25920860866405493
-0.19999999999999973,-0.20429933740221748
-0.1499999999999999,-0.1516395379494253
-0.09999999999999964,-0.10043449114621628
-0.04999999999999982,-0.05004794689937185
0.0,6.321469559065967E-9
0.04999999999999982,0.05003546544746007
0.10000000000000053,0.10023484369965358
0.15000000000000036,0.1506308791722305
0.20000000000000018,0.20112054734012483
0.25,0.25147511835686226
0.2999999999999998,0.30135270524168956
0.35000000000000053,0.3503113913751896
0.40000000000000036,0.3978255390913721
0.4500000000000002,0.44330277090063497
0.5,0.48610227100346615
0.5499999999999998,0.5255542968869243
0.6000000000000005,0.5609785362736666
0.6500000000000004,0.5917051943151839
0.7000000000000002,0.617093554182284
0.75,0.636549948828407
0.8000000000000007,0.6495462841428703
0.8500000000000005,0.6556349628010418
0.9000000000000004,0.6544631236594153
0.9500000000000002,0.6457840950298941
1.0,0.6294680115708804
1.0500000000000007,0.6055070397945604
1.1000000000000005,0.5740201677469492
1.1500000000000004,0.5352550193394743
1.2000000000000002,0.48958474350633435
1.25,0.43750468924628166
1.3000000000000007,0.3796248122002663
1.3500000000000005,0.3166599034804572
1.4000000000000004,0.2494179820322092
1.4500000000000002,0.17878405629637706
1.5,0.10570750691998287
1.5500000000000007,0.03118176324946804
1.6000000000000005,-0.04377021417843
1.6500000000000004,-0.11812389257909357
1.7000000000000002,-0.19085820130719475
1.75,-0.26098674387616094
1.8000000000000007,-0.32756953507173003
1.8500000000000005,-0.38973341631997505
1.9000000000000004,-0.44668523760049417
1.9500000000000002,-0.49772734908380517
2.0,-0.5422679360876747
2.0500000000000007,-0.5798319183616993
2.1000000000000005,-0.6100671935137711
2.1500000000000004,-0.6327475548961429
2.2,-0.6477755215366459
2.25,-0.6551797176815992
2.3000000000000007,-0.655110566346288
2.3500000000000005,-0.647833041051328
2.4000000000000004,-0.6337168374526496
2.45,-0.613224176428874
2.5,-0.5868949883264882
2.5500000000000007,-0.5553325992317175
2.6000000000000005,-0.5191837625190295
2.6500000000000004,-0.47912147675307415
2.7,-0.43582531514120443
2.75,-0.38996180160308813
2.8000000000000007,-0.3421648990898176
2.8500000000000005,-0.29301700094132566
2.9000000000000004,-0.24303079470613984
2.95,-0.19263233592500828
3.0,-0.14214582254149688
3.0500000000000007,-0.09177921544281546
3.1000000000000005,-0.04161367273987891
3.1500000000000004,0.008407535325086
3.2,0.05848546577754152
3.25,0.10897184199900437
3.3000000000000007,0.16037275937753903
3.3500000000000005,0.21335104096426183
3.4000000000000004,0.26872752801006866
3.45,0.327481913952801
3.5,0.3907539798066484
3.5500000000000007,0.45984602888396153
3.6000000000000005,0.5362285601108835
3.6500000000000004,0.6215501949327396
3.7,0.7176549101103176
3.75,0.8266101392139509
3.8000000000000007,0.9507478686752308
3.8500000000000005,1.092731297286596
3.9000000000000004,1.2556491559803773
3.95,1.443157474201887
